Month,Year,Admits,ALOS
Jul,2007,44,
Aug,2007,42,
Sep,2007,43,
Oct,2007,47,
Nov,2007,37,
Dec,2007,48,
Jan,2008,52,
Feb,2008,45,
Mar,2008,53,
Apr,2008,66,
May,2008,41,
Jun,2008,37,
Jul,2008,45,29.1
Aug,2008,35,30.6
Sep,2008,34,37.2
Oct,2008,37,41.6
Nov,2008,25,32.8
Dec,2008,47,31.9
Jan,2009,42,34.8
Feb,2009,36,21.2
Mar,2009,42,48.4
Apr,2009,38,33.2
May,2009,42,41.1
Jun,2009,39,40.7
Jul,2009,57,33.8
Aug,2009,35,35.1
Sep,2009,52,24.4
Oct,2009,39,32.2
Nov,2009,43,20.8
Dec,2009,51,21
Jan,2010,31,26
Feb,2010,44,29.7
Mar,2010,41,28
Apr,2010,50,31.2
May,2010,46,33.6
Jun,2010,48,29.6
Jul,2010,49,32.4
Aug,2010,48,31.3
Sep,2010,32,39.2
Oct,2010,50,19.8
Nov,2010,30,31.2
Dec,2010,31,28.4
Jan,2011,58,25.1
Feb,2011,35,24.3
Mar,2011,41,17.2
Apr,2011,39,40.4
May,2011,43,32.1
Jun,2011,48,35.7
Jul,2011,34,39.6
Aug,2011,35,27
Sep,2011,34,33.2
Oct,2011,45,40.6
Nov,2011,39,26
Dec,2011,39,33.5
Jan,2012,50,22.2
Feb,2012,38,35.1
Mar,2012,50,28.3
Apr,2012,25,26.7
May,2012,35,35.3
Jun,2012,44,39.2
Jul,2012,38,29.5
Aug,2012,38,37.4
Sep,2012,39,28.4
Oct,2012,45,28.2
Nov,2012,41,34.4
Dec,2012,33,29.7
Jan,2013,33,25.2
Feb,2013,43,30.8
